125	1	1	1
160	1	1	1
170	1	1	1
180	1	1	1
190	1	1	1
200	1	1	1
210	0.921783934922	4.46602706627	4.46614976257
230	0.969484647857	12.9470910888	12.9484498999
250	0.975156796777	23.3337140091	23.3420636142
270	0.998168024781	51.6934743535	51.7541963511
300	0.94473863394	25.003992513	24.8625894535
350	0.870796535533	14.492822837	14.3984426179
400	0.836027742584	5.63876863328	5.57692880057
450	14.6027028808	71.2924098084	70.3455801024
500	0.749378163355	1.68842293597	1.62398981946
550	0.714750158653	1.60913831661	1.5478767354
600	0.691196971474	1.20538901389	1.13421210013
700	0.649600458289	6.8631965188	7.11117605667
800	0.651077802946	6.58320936465	6.68679099364
900	0.617793125246	10.5388709191	13.951528098
1000	0.646899622886	11.6430606079	16.037197531
1500	1.0075944525	12.1927829901	9.25127058252
2000	3.34377081265	40.2532836534	29.2669955898
2500	8.21147448624	98.2622686211	69.6617092569
3000	20.253336057	249.546397542	190.492077963
